0	5e-05	3.7448369
1	0.00015	50.585662
2	0.00025	102.22393
3	0.00035	150.27929
4	0.00045	227.72657
5	0.00055	317.83544
6	0.00065	415.91981
7	0.00075	508.30595
8	0.00085	583.90105
9	0.00095	635.86319
10	0.00105	668.40279
11	0.00115	668.03842
12	0.00125	648.31224
13	0.00135	607.36194
14	0.00145	555.16701
15	0.00155	494.67272
16	0.00165	428.73322
17	0.00175	368.5122
18	0.00185	313.92867
19	0.00195	264.49682
20	0.00205	218.54666
21	0.00215	184.12452
22	0.00225	153.2448
23	0.00235	128.65033
24	0.00245	109.25815
25	0.00255	93.924559
26	0.00265	80.493752
27	0.00275	70.87863
28	0.00285	61.19266
29	0.00295	55.28189
30	0.00305	50.767843
31	0.00315	47.458217
32	0.00325	41.982658
33	0.00335	39.523211
34	0.00345	37.094128
35	0.00355	35.019286
36	0.00365	33.025413
37	0.00375	31.304813
38	0.00385	30.191483
39	0.00395	28.440518
40	0.00405	27.904096
41	0.00415	25.28271
42	0.00425	25.464891
43	0.00435	24.058047
44	0.00445	23.22811
45	0.00455	22.266598
46	0.00465	21.112783
47	0.00475	19.331456
48	0.00485	18.025823
49	0.00495	17.276856
50	0.00505	15.789042
51	0.00515	13.835654
52	0.00525	12.985475
53	0.00535	12.115054
54	0.00545	11.406571
55	0.00555	9.34185
56	0.00565	9.5847583
57	0.00575	8.6940944
58	0.00585	7.4289468
59	0.00595	7.3176138
60	0.00605	6.376344
61	0.00615	6.153678
62	0.00625	6.3864651
63	0.00635	5.6172554
64	0.00645	5.1921658
65	0.00655	5.2528929
66	0.00665	4.6658644
67	0.00675	4.2407748
68	0.00685	4.0889571
69	0.00695	4.0788359
70	0.00705	3.8865335
71	0.00715	3.5525345
72	0.00725	3.471565
73	0.00735	3.0565966
74	0.00745	3.6031404
75	0.00755	3.076839
76	0.00765	2.965506
77	0.00775	2.8946577
78	0.00785	2.6112647
79	0.00795	2.74284
80	0.00805	2.7327188
81	0.00815	2.6112647
82	0.00825	2.5302952
83	0.00835	2.2671445
84	0.00845	2.1760539
85	0.00855	2.014115
86	0.00865	2.2266598
87	0.00875	1.9938726
88	0.00885	1.8622973
89	0.00895	1.9230244
90	0.00905	2.0748421
91	0.00915	1.7712067
92	0.00925	1.8622973
93	0.00935	1.9129032
94	0.00945	1.6295101
95	0.00955	1.5991466
96	0.00965	1.6295101
97	0.00975	1.5586619
98	0.00985	1.5181771
99	0.00995	1.3258747
